station,date,nhrh_pred_lwmwet_1_tot
AHTI4,2020-03-13,0
OSTI4,2020-03-14,420
GVNI4,2020-03-14,840
AHTI4,2020-03-14,480
BNKI4,2020-03-14,300
BNKI4,2020-03-15,240
OSTI4,2020-03-15,360
AHTI4,2020-03-15,540
GVNI4,2020-03-15,0
GVNI4,2020-03-16,780
OSTI4,2020-03-16,300
AHTI4,2020-03-16,360
BNKI4,2020-03-16,780
GVNI4,2020-03-17,300
BNKI4,2020-03-17,360
AHTI4,2020-03-17,120
OSTI4,2020-03-17,0
AHTI4,2020-03-18,1020
BNKI4,2020-03-18,840
GVNI4,2020-03-18,1020
OSTI4,2020-03-18,900
GVNI4,2020-03-19,1260
OSTI4,2020-03-19,1440
BNKI4,2020-03-19,1440
AHTI4,2020-03-19,1440
OSTI4,2020-03-20,660
AHTI4,2020-03-20,720
GVNI4,2020-03-20,300
BNKI4,2020-03-20,960
GVNI4,2020-03-21,0
BNKI4,2020-03-21,0
OSTI4,2020-03-21,0
AHTI4,2020-03-21,0
GVNI4,2020-03-22,240
BNKI4,2020-03-22,0
AHTI4,2020-03-22,120
OSTI4,2020-03-22,360
GVNI4,2020-03-23,1140
BNKI4,2020-03-23,1140
OSTI4,2020-03-23,1200
AHTI4,2020-03-23,1020
GVNI4,2020-03-24,660
OSTI4,2020-03-24,1200
BNKI4,2020-03-24,960
AHTI4,2020-03-24,720
OSTI4,2020-03-25,1020
BNKI4,2020-03-25,1140
GVNI4,2020-03-25,840
AHTI4,2020-03-25,1020
OSTI4,2020-03-26,720
BNKI4,2020-03-26,1200
AHTI4,2020-03-26,900
GVNI4,2020-03-26,720
OSTI4,2020-03-27,1140
BNKI4,2020-03-27,1020
AHTI4,2020-03-27,540
GVNI4,2020-03-27,840
AHTI4,2020-03-28,1320
OSTI4,2020-03-28,1200
GVNI4,2020-03-28,1140
BNKI4,2020-03-28,1380
AHTI4,2020-03-29,300
OSTI4,2020-03-29,180
GVNI4,2020-03-29,60
BNKI4,2020-03-29,720
BNKI4,2020-03-30,180
OSTI4,2020-03-30,180
AHTI4,2020-03-30,0
GVNI4,2020-03-30,0
AHTI4,2020-03-31,0
GVNI4,2020-03-31,0
BNKI4,2020-03-31,120
OSTI4,2020-03-31,0
GVNI4,2020-04-01,0
OSTI4,2020-04-01,300
BNKI4,2020-04-01,660
AHTI4,2020-04-01,0
GVNI4,2020-04-02,0
BNKI4,2020-04-02,0
AHTI4,2020-04-02,0
OSTI4,2020-04-02,0
OSTI4,2020-04-03,1080
BNKI4,2020-04-03,360
GVNI4,2020-04-03,660
AHTI4,2020-04-03,540
BNKI4,2020-04-04,900
OSTI4,2020-04-04,1020
GVNI4,2020-04-04,0
AHTI4,2020-04-04,0
OSTI4,2020-04-05,0
GVNI4,2020-04-05,420
BNKI4,2020-04-05,0
AHTI4,2020-04-05,0
OSTI4,2020-04-06,240
AHTI4,2020-04-06,0
GVNI4,2020-04-06,180
BNKI4,2020-04-06,0
OSTI4,2020-04-07,900
GVNI4,2020-04-07,720
BNKI4,2020-04-07,840
AHTI4,2020-04-07,720
AHTI4,2020-04-08,180
GVNI4,2020-04-08,0
BNKI4,2020-04-08,720
OSTI4,2020-04-08,180
AHTI4,2020-04-09,0
OSTI4,2020-04-09,0
GVNI4,2020-04-09,0
BNKI4,2020-04-09,0
OSTI4,2020-04-10,0
GVNI4,2020-04-10,0
AHTI4,2020-04-10,0
BNKI4,2020-04-10,60
GVNI4,2020-04-11,0
OSTI4,2020-04-11,0
BNKI4,2020-04-11,180
AHTI4,2020-04-11,180
GVNI4,2020-04-12,300
BNKI4,2020-04-12,1260
OSTI4,2020-04-12,1020
AHTI4,2020-04-12,1320
BNKI4,2020-04-13,420
GVNI4,2020-04-13,0
OSTI4,2020-04-13,180
AHTI4,2020-04-13,0
BNKI4,2020-04-14,120
GVNI4,2020-04-14,0
AHTI4,2020-04-14,0
OSTI4,2020-04-14,0
AHTI4,2020-04-15,840
BNKI4,2020-04-15,0
GVNI4,2020-04-15,360
OSTI4,2020-04-15,840
AHTI4,2020-04-16,0
BNKI4,2020-04-16,0
GVNI4,2020-04-16,540
OSTI4,2020-04-16,60
BNKI4,2020-04-17,480
GVNI4,2020-04-17,960
OSTI4,2020-04-17,960
AHTI4,2020-04-17,660
GVNI4,2020-04-18,0
BNKI4,2020-04-18,300
AHTI4,2020-04-18,0
OSTI4,2020-04-18,0
AHTI4,2020-04-19,0
OSTI4,2020-04-19,0
BNKI4,2020-04-19,0
GVNI4,2020-04-19,0
AHTI4,2020-04-20,0
OSTI4,2020-04-20,0
BNKI4,2020-04-20,0
GVNI4,2020-04-20,0
OSTI4,2020-04-21,0
BNKI4,2020-04-21,0
AHTI4,2020-04-21,0
GVNI4,2020-04-21,0
AHTI4,2020-04-22,0
BNKI4,2020-04-22,0
OSTI4,2020-04-22,0
GVNI4,2020-04-22,0
BNKI4,2020-04-23,1320
OSTI4,2020-04-23,480
AHTI4,2020-04-23,180
