station,valid,in_high,in_low,in_rh_min,in_rh,in_rh_max,in_solar_mj,in_precip,in_speed,in_gust,in_et,out_lwmv_1,out_lwmv_2,out_lwmdry_1_tot,out_lwmcon_1_tot,out_lwmwet_1_tot,out_lwmdry_2_tot,out_lwmcon_2_tot,out_lwmwet_2_tot,out_bpres_avg
BNKI4,2020-01-21,20.5016,0.139999999999958,78.09,88.9379164377848,95.7,10.27,0,3.2748802,12.086186,0.0170472440944882,2592,279.8,0,0,1440,0,857,583.3,607.6
AHTI4,2020-01-21,22.9424,-9.38200000000008,74.43,82.2962497075399,86.2,9.69,0,6.185139,16.98285,0.0194094476377953,280.9,278.9,0,858,582,0,891,548.8,1032
OSTI4,2020-01-22,32.318600000000004,25.8385999999999,75.34,87.1570825576782,99.2,3788,0.26999998,3.0757926,14.204569,0.0151574775590551,280.8,284.9,5,1435,0.25,0,1386,53.75,714.6
BNKI4,2020-01-22,30.2233999999999,20.4403999999999,75.92,86.9250008265178,99.4,5068,0.2,5.471555,14.233649,0.0218110220472441,2301,278.4,0,0,1440,0,1440,0,601.4
GVNI4,2020-01-22,33.7567999999999,30.2198,81.5,95.7166668574015,99.5,1.59,0.31,7.972454,20.669325,0.00736220472440945,192.3,332.7,866,17,557,0,22,1418,604.5
AHTI4,2020-01-22,33.4274,22.8812,76.22,92.2820828755697,100,3929,0.2,7.9321895,18.521862,0.0139763787401575,277.6,277.6,0,932,508.5,0,1214,225.8,1017
GVNI4,2020-01-23,33.9385999999999,29957,99.4,99.4208345413208,99.5,2.72,0.18,4.8698187,16.119389,0.0103543299212599,163.7,277.5,1440,0,0,0,459.5,981,604.1
AHTI4,2020-01-23,33.5497999999999,31406,95,98.5375000635783,100,3846,0.060000002,4.547699,10.245185,0.011653544488189,279.6,277.6,0,1107,333.5,0,1103,337.5,1016
BNKI4,2020-01-23,32.4301999999999,28.1551999999999,97.8,99.2375020980835,99.4,2754,0.11,2.4785297,7.030702,0.0103149614173228,2152,279.6,0,0,1440,0,1431,9,599.5
OSTI4,2020-01-23,36.3667999999999,31.2152,97.7,99.1375001271566,99.3,3846,0.14,2.3308916,8.958945,0.0145275598425197,288.6,284.2,0,612.5,828,0,320.5,1120,696.2
GVNI4,2020-01-24,31.1252,26.8448,91.1,95.9500001271566,99.5,2129,0,7.556383,15.828588,0.00984252086614173,163.7,276.2,1440,0,0,0,1440,0,605.6
BNKI4,2020-01-24,33.7801999999999,30.7147999999999,99.3,99.3666687011719,99.4,3157,0.16999999,2.9482868,7.5854635,0.0116535433070866,2125,279.6,0,0,1440,0,1158,282.3,597.6
AHTI4,2020-01-24,32.0179999999999,28832,94.3,96.6000003814697,98,4.91,0.21000001,7.90982,16.515327,0.0138582677165354,279.6,303.4,0,1440,0,0,661.5,778.5,1017
OSTI4,2020-01-24,32.318600000000004,29.3162,94.5,98.0166683197022,99.3,5104,0.120000005,5.9524975,11.853544,0.0145669271653543,276.7,278.1,0,1006,434.3,0,680.3,759.8,702.3
AHTI4,2020-01-25,32.4463999999999,15.9439999999999,76.5,87.6291662851969,96.9,6684,0,3.650686,13.050308,0.0242126011811024,283,283,0,1440,0,0,573.8,866,1018
OSTI4,2020-01-25,33.3625999999999,18.1111999999999,79.3,90.3820823033651,99.2,7369,0.09,4.959296,12.685687,0.0272440905511811,285.7,288.4,158,1228,53.75,0,1311,128.8,711.8
