lr/train,time/total_timesteps,train/loss,eval/loss,eval/win_rate_over_baseline,eval/baseline_error,eval/std_error,eval/baseline_std
,170000,,0.3340569633990526,0.7647058963775635,1.0987926959991454,0.3785682801490891,0.25141310272429834
0.001,171000,0.28453436160087586,,,,,
0.001,172000,0.38582335686683655,,,,,
0.001,173000,0.37087374210357665,,,,,
0.001,174000,0.3634832420349121,,,,,
0.001,175000,0.31927940940856936,,,,,
0.001,176000,0.31213461589813235,,,,,
0.001,177000,0.2956061878204346,,,,,
0.001,178000,0.2607053117752075,,,,,
0.001,179000,0.29944984543323516,,,,,
0.001,180000,0.29194937789440156,,,,,
,180000,,0.2019001141175977,0.7777777910232544,1.3972340106964112,0.22164455455650078,0.2515084867472383
0.001,181000,0.2681773444414139,,,,,
0.001,182000,0.3174838718175888,,,,,
0.001,183000,0.2556967661380768,,,,,
0.001,184000,0.2896372902393341,,,,,
0.001,185000,0.19341832494735717,,,,,
0.001,186000,0.2785580062866211,,,,,
0.001,187000,0.3530334167480469,,,,,
0.001,188000,0.33190695142745974,,,,,
0.001,189000,0.26606695663928986,,,,,
0.001,190000,0.32250404393672943,,,,,
,190000,,0.2778474152088165,0.7894737124443054,0.9605894804000854,0.22549404375591697,0.3578309372443512
0.001,191000,0.21343568086624146,,,,,
0.001,192000,0.37335781574249266,,,,,
0.001,193000,0.2572440524101257,,,,,
0.001,194000,0.31742854332923887,,,,,
0.001,195000,0.2688192994594574,,,,,
0.001,196000,0.2655616683959961,,,,,
0.001,197000,0.30463211941719054,,,,,
0.001,198000,0.30683680272102354,,,,,
0.001,199000,0.31560281324386597,,,,,
0.001,200000,0.20981246423721314,,,,,
,200000,,0.28181238295510413,0.7900000214576721,0.9251794144511223,0.35045818939691065,0.47222536359520006
